unixtime, timestamp, slave_ID, co2, duty1, co2ave1, co2ave5, dutyave5, co2sd5, temp, pressure, humidity, gas, approx_altitude
1565495040.00,2019/8/11 3:44:15,255,495.00,500.00,495.00,494.60,500.00,NA,20.54,1016.34,84.16,105.87,-25.69
1565495296.00,2019/8/11 3:49:15,255,488.00,500.00,489.17,491.57,500.00,NA,20.42,1016.40,84.88,110.22,-26.36
1565495680.00,2019/8/11 3:54:15,255,485.00,500.00,485.75,485.95,500.00,NA,20.39,1016.46,85.50,109.72,-26.53
1565495936.00,2019/8/11 3:59:15,255,486.00,500.00,485.83,486.17,500.00,NA,20.40,1016.50,85.73,109.58,-26.86
1565496192.00,2019/8/11 4:4:15,255,480.00,500.00,480.00,482.18,500.00,NA,20.37,1016.55,85.13,110.58,-27.36
1565496576.00,2019/8/11 4:9:15,255,481.00,500.00,481.17,480.00,500.00,NA,20.34,1016.61,85.14,109.86,-27.94
1565496832.00,2019/8/11 4:14:15,255,484.00,500.00,484.00,483.13,500.00,NA,20.31,1016.59,85.50,108.24,-27.94
1565497216.00,2019/8/11 4:19:15,255,488.00,500.00,487.17,477.83,499.98,NA,20.35,1016.67,86.79,101.29,-28.27
1565497472.00,2019/8/11 4:24:15,255,481.00,500.00,482.33,486.62,500.00,NA,20.36,1016.73,85.51,105.47,-28.77
1565497728.00,2019/8/11 4:29:15,255,480.00,500.00,478.67,470.12,499.98,NA,20.33,1016.75,85.64,107.01,-28.93
1565498112.00,2019/8/11 4:34:16,255,478.00,500.00,478.00,479.92,500.00,NA,20.22,1016.75,84.67,112.05,-28.93
1565498368.00,2019/8/11 4:39:16,255,483.00,500.00,483.00,481.00,500.00,NA,20.17,1016.81,85.63,108.31,-29.60
1565498624.00,2019/8/11 4:44:16,255,491.00,500.00,491.00,487.70,500.00,NA,20.15,1016.91,86.45,101.23,-30.43
1565499008.00,2019/8/11 4:49:16,255,490.00,500.00,490.00,490.38,500.00,NA,20.14,1017.01,86.13,103.02,-31.09
1565499264.00,2019/8/11 4:54:16,255,490.00,392.93,489.33,488.83,335.97,NA,20.12,1017.07,86.08,103.46,-31.59
1565499520.00,2019/8/11 4:59:16,255,487.00,497.22,487.92,489.52,444.08,NA,20.10,1017.03,86.11,104.43,-31.75
1565499904.00,2019/8/11 5:4:16,255,485.00,500.00,485.00,485.93,499.94,NA,20.06,1017.10,86.25,105.80,-32.00
1565500160.00,2019/8/11 5:9:16,255,486.00,500.00,486.67,486.77,500.00,NA,19.99,1017.20,85.30,107.62,-33.00
1565500416.00,2019/8/11 5:14:16,255,485.00,500.00,485.00,485.45,500.00,NA,19.90,1017.32,85.29,108.80,-33.83
1565500800.00,2019/8/11 5:19:16,255,486.00,500.00,485.50,485.53,500.00,NA,19.84,1017.36,85.85,107.62,-34.33
